genus=*,genus:en,genus:fr,leaf_cycle=*(deciduous or evergreen),leaf_type=*(needleleaved or broadleaved),Synonym
Abies,Fir,Sapin,evergreen,needleleaved,
Acacia,,,deciduous,broadleaved,
Acanthophoenix,,,evergreen,broadleaved,
Acer,Maple,Érable,deciduous and evergreen,broadleaved,
Acoelorrhaphe,,,evergreen,broadleaved,
Acrocomia,,,evergreen,broadleaved,
Actinokentia,,,evergreen,broadleaved,
Actinorhytis,,,evergreen,broadleaved,
Adonidia,,,evergreen,broadleaved,
Aesculus,Horse chestnut,Marronnier,deciduous,broadleaved,
Ailanthus,,Ailante,deciduous,broadleaved,
Aiphanes,,,evergreen,broadleaved,
Albizia,,,deciduous,broadleaved,
Allagoptera,,,evergreen,broadleaved,
Alnus,Alder,Aulne,deciduous,broadleaved,
Amelanchier,,Amélanchier,deciduous,broadleaved,
Ammandra,,,evergreen,broadleaved,
Aphandra,,,evergreen,broadleaved,
Araucaria,,Pin,evergreen,needleleaved,
Arbutus,,Arbousier,evergreen,broadleaved,
Archontophoenix,,,evergreen,broadleaved,
Areca,,,evergreen,broadleaved,
Armeniaca,,Arbricotier,deciduous and evergreen,broadleaved,Prunus
Arenga,,,evergreen,broadleaved,
Asterogyne,,,evergreen,broadleaved,
Astrocaryum,,,evergreen,broadleaved,
Attalea,,,evergreen,broadleaved,
Bactris,,,evergreen,broadleaved,
Balaka,,,evergreen,broadleaved,
Barcella,,,evergreen,broadleaved,
Basselinia,,,evergreen,broadleaved,
Beccariophoenix,,,evergreen,broadleaved,
Bentinckia,,,evergreen,broadleaved,
Betula,Birch,Bouleau,deciduous,broadleaved,
Bismarckia,,,evergreen,broadleaved,
Borassodendron,,,evergreen,broadleaved,
Borassus,,,evergreen,broadleaved,
Brahea,,,evergreen,broadleaved,
Brassiophoenix,,,evergreen,broadleaved,
Broussonetia,,,decidious,broadleaved,
Buddleja,,,decidious,broadleaved,
Burretiokentia,,,evergreen,broadleaved,
Butia,,,evergreen,broadleaved,
Buxus,,Buis,evergreen,broadleaved,
Calamus,,,evergreen,broadleaved,
Calocedrus,,,evergreen,needleleaved,
Calyptrocalyx,,,evergreen,broadleaved,
Calyptrogyne,,,evergreen,broadleaved,
Calyptronoma,,,evergreen,broadleaved,
Carpentaria,,,evergreen,broadleaved,
Carpinus,Hornbeam,Charme,deciduous,broadleaved,
Carpoxylon,,,evergreen,broadleaved,
Carya,Hickory,Caryer,deciduous,broadleaved,
Caryota,,,evergreen,broadleaved,
Castanea,Chestnut,Châtaignier,deciduous,broadleaved,
Catalpa,,,deciduous and evergreen,broadleaved,
Cathaya,,,evergreen,needleleaved,
Cedrela,,,deciduous and evergreen,broadleaved,
Celtis,,Micocoulier,deciduous,broadleaved,
Cedrus,Cedar,Cèdre,evergreen,needleleaved,
Cephalotaxus,,,evergreen,needleleaved,
Cerasus,,,deciduous,broadleaved,Prunus
Ceratolobus,,,evergreen,broadleaved,
Ceratozamia,,,evergreen,needleleaved,
Cercidiphyllum,,,deciduous,broadleaved,
Cercis,,,deciduous,broadleaved,
Ceroxylon,,,evergreen,broadleaved,
Chamaecyparis,,,evergreen,needleleaved,
Chamaedorea,,,evergreen,broadleaved,
Chamaerops,,,evergreen,broadleaved,
Chambeyronia,,,evergreen,broadleaved,
Chelyocarpus,,,evergreen,broadleaved,
Chigua,,,evergreen,needleleaved,
Chitalpa,,,deciduous,broadleaved,
Chuniophoenix,,,evergreen,broadleaved,
Cinnamomum,,,deciduous and evergreen,broadleaved,
Cistus,,,evergreen,broadleaved,
Citrus,,,evergreen,broadleaved,
Clerodendrum,,,deciduous and evergreen,broadleaved,
Clinosperma,,,evergreen,broadleaved,
Clinostigma,,,evergreen,broadleaved,
Coccothrinax,,,evergreen,broadleaved,
Cocos,,,evergreen,broadleaved,
Colpothrinax,,,evergreen,broadleaved,
Copernicia,,,evergreen,broadleaved,
Corylus,Hazel,Noisetier,deciduous,broadleaved,
Cornus,,Cornouiller,deciduous and evergreen,broadleaved,
Cortaderia,,,deciduous and evergreen,broadleaved,
Cotinus,,,deciduous,broadleaved,
Corypha,,,evergreen,broadleaved,
Crataegus,,Aubépine,deciduous,broadleaved,
Cryosophila,,,evergreen,broadleaved,
Cryptomeria,,,evergreen,needleleaved,
Cunninghamia,,,evergreen,needleleaved,
Cupressocyparis,,,evergreen,needleleaved,
Cupressus,Cypress,Cyprès,evergreen,needleleaved,
Cycas,,,evergreen,needleleaved,
Cydonia,Quince,Cognassier,deciduous,broadleaved,
Cyphokentia,,,evergreen,broadleaved,
Cyphophoenix,,,evergreen,broadleaved,
Cyphosperma,,,evergreen,broadleaved,
Cyrtostachys,,,evergreen,broadleaved,
Davidia,,,deciduous,broadleaved,
Daemonorops,,,evergreen,broadleaved,
Deckenia,,,evergreen,broadleaved,
Desmoncus,,,evergreen,broadleaved,
Dictyocaryum,,,evergreen,broadleaved,
Dictyosperma,,,evergreen,broadleaved,
Dioon,,,evergreen,needleleaved,
Diospyros,,,deciduous,broadleaved,
Dransfieldia,,,evergreen,broadleaved,
Drymophloeus,,,evergreen,broadleaved,
Dypsis,,,evergreen,broadleaved,
Elaeis,,,evergreen,broadleaved,
Elaeagnus,,,deciduous and evergreen,broadleaved,
Eleiodoxa,,,evergreen,broadleaved,
Encephalartos,,,evergreen,needleleaved,
Ephedra,,,evergreen,needleleaved,
Eremospatha,,,evergreen,broadleaved,
Ehretia,,,deciduous and evergreen,broadleaved,
Eucalyptus,,Eucalyptus,deciduous and evergreen,broadleaved,
Eucommia,,,deciduous,broadleaved,
Euodia,,,deciduous,broadleaved,
Eugeissona,,,evergreen,broadleaved,
Euterpe,,,evergreen,broadleaved,
Fagus,Beech,Hêtres,deciduous,broadleaved,
Ficus,,,deciduous,broadleaved,
Fraxinus,,,deciduous and evergreen,broadleaved,
Gaussia,,,evergreen,broadleaved,
Geonoma,,,evergreen,broadleaved,
Ginkgo,,,deciduous,broadleaved,
Gleditsia,,,deciduous,broadleaved,
Gnetum,,,evergreen,broadleaved,
Guihaia,,,evergreen,broadleaved,
Gymnocladus,,,deciduous,broadleaved,
Hamamelis,Witch-hazel,,deciduous,broadleaved,
Hedyscepe,,,evergreen,broadleaved,
Hemithrinax,,,evergreen,broadleaved,
Heterospathe,,,evergreen,broadleaved,
Hippophae,,,deciduous,broadleaved,
Howea,,,evergreen,broadleaved,
Humulus,,Houblon,deciduous,broadleaved,
Hydriastele,,,evergreen,broadleaved,
Hyophorbe,,,evergreen,broadleaved,
Hyospathe,,,evergreen,broadleaved,
Hyphaene,,,evergreen,broadleaved,
Iguanura,,,evergreen,broadleaved,
Ilex,holly,houx,evergreen,broadleaved,
Iriartea,,,evergreen,broadleaved,
Iriartella,,,evergreen,broadleaved,
Itaya,,,evergreen,broadleaved,
Johannesteijsmannia,,,evergreen,broadleaved,
Juania,,,evergreen,broadleaved,
Jubaea,,,evergreen,broadleaved,
Jubaeopsis,,,evergreen,broadleaved,
Juglans,,,deciduous,broadleaved,
Juniperus,Juniper,Genévrier,evergreen,needleleaved,
Kentiopsis,,,evergreen,broadleaved,
Kerriodoxa,,,evergreen,broadleaved,
Keteleeria,,,evergreen,needleleaved,
Koelreuteria,,,deciduous,broadleaved,
Korthalsia,,,evergreen,broadleaved,
Laburnum,,Cytise,deciduous,broadleaved,
Laccospadix,,,evergreen,broadleaved,
Laccosperma,,,evergreen,broadleaved,
Lagerstroemia,,,deciduous and evergreen,broadleaved,
Larix,Larch,Mélèze,evergreen and deciduous,needleleaved,
Latania,,,evergreen,broadleaved,
Lavandula,,,evergreen,broadleaved,
